Stakes,Odds,Available,Num_Runners,Race_Type,Going,Days,Bet_Strength,Result
2,90,72,21,HURDLE,FAST,13,1,LOSER
5,2.24,99,13,FLAT,HEAVY,23,4,LOSER
2,2.62,9,11,FLAT,HEAVY,15,1,LOSER
2,1.49,539,15,HURDLE,GOOD/SOFT,18,1,WINNER
5,1.79,1705,11,FLAT,GOOD/SOFT,76,4,WINNER
2,2.56,106,6,FLAT,GOOD/SOFT,25,2,LOSER
2,160,934,5,HURDLE,HEAVY,15,1,LOSER
2,2.82,244,8,HURDLE,GOOD/FIRM,43,3,LOSER
2,1.67,684,8,HURDLE,FIRM,17,3,WINNER
2,1.49,1054,8,FLAT,HEAVY,20,2,LOSER
2,1.17,903,7,FLAT,SOFT,31,3,LOSER
2,1.51,302,16,HURDLE,HEAVY,14,3,WINNER
5,1.59,337,9,CHASE,GOOD ,22,4,WINNER
2,1.57,2039,16,FLAT,SOFT,12,1,LOSER
5,1.81,451,12,HURDLE,SOFT,9,4,WINNER
2,1.45,859,12,HURDLE,GOOD/SOFT,39,1,WINNER
2,1.73,1871,13,CHASE,HEAVY,29,3,LOSER
2,1.73,137,17,FLAT,FAST,74,1,WINNER
5,1.87,347,12,FLAT,FAST,47,4,WINNER
2,1.8,296,9,HURDLE,SOFT,35,2,WINNER
2,3.25,66,7,HURDLE,HEAVY,15,1,LOSER
5,350,381,16,FLAT,SOFT,27,5,LOSER
5,4.2,1870,7,CHASE,HEAVY,16,4,WINNER
2,900,539,9,HURDLE,GOOD/FIRM,54,2,LOSER
5,2.54,18,7,CHASE,GOOD/SOFT,14,4,WINNER
5,2.92,27,8,FLAT,SOFT,18,4,LOSER
5,1.87,57,12,FLAT,FAST,18,4,WINNER
2,3.65,149,16,FLAT,FIRM,18,1,LOSER
2,2.96,14,8,FLAT,FIRM,32,1,WINNER
2,3.1,271,6,FLAT,GOOD ,8,3,LOSER
5,1.17,137,9,HURDLE,HEAVY,15,4,WINNER
5,1.85,218,8,FLAT,HEAVY,91,5,LOSER
5,50,98,8,CHASE,GOOD/SOFT,14,5,LOSER
2,1.61,23,6,FLAT,GOOD/FIRM,14,1,LOSER
5,3.95,482,7,HURDLE,FIRM,13,4,LOSER
2,1.24,90,10,FLAT,GOOD/FIRM,35,2,WINNER
2,11,1586,9,HURDLE,GOOD/FIRM,44,1,LOSER
2,1.83,51,7,CHASE,SOFT,12,3,LOSER
2,2.34,422,6,FLAT,SOFT,18,1,LOSER
2,1.94,48,12,HURDLE,HEAVY,7,2,WINNER
2,1.84,63,8,HURDLE,SOFT,15,1,WINNER
2,1.07,1616,14,FLAT,SOFT,18,1,WINNER
2,18,453,8,HURDLE,SOFT,52,3,LOSER
2,30,196,6,CHASE,FAST,11,3,LOSER
5,1.32,32,9,CHASE,GOOD/FIRM,59,5,WINNER
2,1.16,42,10,HURDLE,GOOD ,8,2,WINNER
2,2.02,55,11,FLAT,GOOD/SOFT,33,2,WINNER
2,1.82,351,10,FLAT,FAST,19,1,WINNER
5,9.4,222,9,CHASE,GOOD ,51,4,LOSER
2,3.35,45,7,CHASE,GOOD ,19,1,LOSER
5,1.31,961,17,HURDLE,GOOD/SOFT,21,4,WINNER
2,1.48,69,20,FLAT,GOOD ,20,1,LOSER
2,250,46,6,HURDLE,FAST,13,2,LOSER
2,1.77,281,6,FLAT,HEAVY,17,3,LOSER
2,1.65,75,6,CHASE,GOOD/SOFT,5,3,WINNER
2,8.6,12,16,HURDLE,GOOD/SOFT,12,2,LOSER
2,5.9,176,10,FLAT,HEAVY,26,3,LOSER
5,1.85,15,5,HURDLE,FIRM,30,5,WINNER
2,800,323,24,HURDLE,HEAVY,28,1,LOSER
5,5.7,281,22,HURDLE,FIRM,14,4,LOSER
2,1.75,10,8,FLAT,FAST,32,3,LOSER
2,1.3,126,21,FLAT,GOOD ,18,1,LOSER
2,250,67,9,FLAT,FIRM,9,1,LOSER
2,1.44,27,5,CHASE,FAST,26,1,WINNER
2,5.9,840,7,FLAT,GOOD/SOFT,11,2,LOSER
2,1.88,26,7,FLAT,HEAVY,8,3,WINNER
5,2.1,133,9,FLAT,HEAVY,50,5,LOSER
2,2.6,263,11,CHASE,SOFT,15,1,WINNER
2,1.13,2,6,CHASE,GOOD/FIRM,21,2,WINNER
2,1.81,81,9,FLAT,SOFT,34,3,WINNER
5,1.49,28,18,FLAT,GOOD ,23,4,WINNER
5,1.43,1205,10,HURDLE,GOOD/FIRM,9,5,LOSER
2,1.25,180,18,CHASE,HEAVY,13,1,WINNER
5,1.99,9,15,HURDLE,GOOD/SOFT,61,5,WINNER
2,4.9,342,8,CHASE,FIRM,28,2,WINNER
2,1.98,58,10,HURDLE,HEAVY,11,3,WINNER
5,2.72,360,12,HURDLE,FAST,15,4,WINNER
2,2.6,2,6,FLAT,GOOD/SOFT,32,1,LOSER
5,1.88,1644,7,FLAT,FIRM,65,5,WINNER
2,1.92,7,9,FLAT,SOFT,16,1,LOSER
5,1.53,19,6,FLAT,FAST,14,4,LOSER
5,8.8,641,7,FLAT,HEAVY,12,5,LOSER
2,3,1529,13,CHASE,SOFT,40,3,LOSER
2,1.73,109,8,FLAT,GOOD/SOFT,30,3,WINNER
5,5.6,433,6,FLAT,GOOD/FIRM,12,4,WINNER
5,2.1,139,7,FLAT,HEAVY,34,5,LOSER
5,35,135,12,FLAT,GOOD ,37,5,LOSER
2,1.89,1639,12,FLAT,GOOD/FIRM,8,2,WINNER
2,9,745,7,FLAT,GOOD ,15,3,LOSER
2,12,11,6,HURDLE,GOOD/SOFT,58,2,LOSER
2,11,772,16,FLAT,GOOD/SOFT,21,3,LOSER
2,9.6,10,13,HURDLE,SOFT,10,2,LOSER
2,7.6,416,10,HURDLE,HEAVY,43,3,LOSER
5,2.32,66,11,FLAT,GOOD/SOFT,8,4,LOSER
5,3.45,30,17,FLAT,FAST,18,4,LOSER
2,1.46,292,11,HURDLE,SOFT,17,2,WINNER
2,2.12,66,7,HURDLE,GOOD/FIRM,43,1,WINNER
5,1.42,276,14,CHASE,GOOD/SOFT,30,4,WINNER
2,1.41,3,8,FLAT,GOOD/SOFT,11,3,WINNER
2,5.7,199,6,FLAT,GOOD/SOFT,20,3,LOSER
2,1.86,1960,10,FLAT,GOOD/FIRM,9,2,LOSER
2,10,988,11,HURDLE,FIRM,7,3,LOSER
2,200,14,7,HURDLE,GOOD/FIRM,125,1,LOSER
2,1.05,91,6,FLAT,HEAVY,10,3,WINNER
2,1.49,3,18,HURDLE,GOOD/FIRM,16,2,WINNER
2,1.35,212,7,HURDLE,SOFT,38,2,WINNER
5,1.21,201,5,FLAT,FAST,5,4,WINNER
5,9.2,156,6,HURDLE,FIRM,81,4,LOSER
2,5.5,282,7,FLAT,FAST,13,2,WINNER
2,1.57,81,17,FLAT,SOFT,17,3,LOSER
2,2.34,18,7,FLAT,HEAVY,8,1,WINNER
2,6.4,175,9,HURDLE,HEAVY,28,1,LOSER
2,1.04,24,21,FLAT,FAST,10,3,WINNER
2,2.92,15,20,HURDLE,GOOD/FIRM,14,2,LOSER
5,25,329,11,FLAT,SOFT,19,4,NON_RUNNER
5,9.2,158,6,HURDLE,GOOD/SOFT,19,5,LOSER
5,9.4,209,5,HURDLE,SOFT,11,5,LOSER
5,120,62,16,CHASE,GOOD ,20,5,LOSER
5,1.41,26,8,FLAT,FIRM,47,4,WINNER
2,2,289,16,FLAT,HEAVY,32,3,WINNER
2,1.08,1333,23,FLAT,SOFT,5,2,WINNER
2,1.24,20,10,FLAT,HEAVY,6,3,WINNER
2,1.72,54,14,FLAT,SOFT,7,1,WINNER
2,8.2,782,7,FLAT,GOOD/SOFT,18,2,LOSER
2,1.41,1752,8,FLAT,HEAVY,63,2,WINNER
2,1.11,317,23,CHASE,GOOD ,20,2,WINNER
2,2.68,147,8,HURDLE,GOOD/SOFT,6,2,LOSER
5,1.39,5,20,FLAT,FIRM,19,4,WINNER
2,19,8,12,CHASE,FAST,32,2,LOSER
5,1.45,25,6,HURDLE,GOOD ,32,4,LOSER
2,5.8,183,14,FLAT,GOOD/SOFT,25,1,LOSER
2,2.74,47,14,CHASE,FIRM,23,2,WINNER
5,1.42,1692,14,HURDLE,FAST,30,5,WINNER
2,1.48,221,11,FLAT,HEAVY,30,2,LOSER
2,1.34,94,14,FLAT,SOFT,39,2,WINNER
2,1.11,32,10,FLAT,FIRM,32,2,WINNER
2,8.2,380,7,FLAT,FIRM,15,3,LOSER
2,2.5,57,6,HURDLE,GOOD/FIRM,24,3,WINNER
2,8,649,6,HURDLE,FIRM,12,2,LOSER
2,4.5,55,16,FLAT,FAST,13,3,LOSER
2,4.3,1955,8,FLAT,HEAVY,22,1,LOSER
2,1.04,429,10,FLAT,FAST,37,1,WINNER
2,2.16,815,6,HURDLE,GOOD ,30,1,WINNER
2,60,321,9,CHASE,FIRM,14,1,LOSER
2,500,398,11,FLAT,FAST,13,3,LOSER
2,1.51,5,7,HURDLE,GOOD/SOFT,38,1,WINNER
2,2.22,121,8,FLAT,SOFT,5,1,WINNER
2,2.74,68,11,HURDLE,FIRM,7,3,WINNER
2,1.04,169,10,CHASE,GOOD/FIRM,14,1,WINNER
2,900,365,8,FLAT,GOOD/SOFT,12,1,LOSER
2,3.15,737,15,HURDLE,SOFT,12,2,WINNER
2,2.58,84,11,FLAT,GOOD/SOFT,14,1,LOSER
5,16,34,7,HURDLE,HEAVY,6,5,LOSER
2,1.46,1482,11,FLAT,FAST,8,3,LOSER
2,1.95,22,8,HURDLE,GOOD/SOFT,32,2,WINNER
5,1.41,700,13,FLAT,HEAVY,62,4,WINNER
5,4.9,39,10,HURDLE,GOOD/SOFT,50,5,LOSER
2,70,823,9,HURDLE,GOOD/SOFT,57,3,LOSER
2,350,1277,7,FLAT,GOOD/FIRM,50,2,LOSER
5,2.96,52,16,HURDLE,FAST,23,5,WINNER
2,3.5,85,8,HURDLE,HEAVY,17,2,WINNER
2,2.36,45,6,FLAT,GOOD/FIRM,5,3,LOSER
2,3.4,164,11,HURDLE,GOOD/FIRM,19,1,WINNER
2,2.06,155,13,HURDLE,GOOD/SOFT,23,2,LOSER
2,1.93,100,14,FLAT,HEAVY,18,3,WINNER
2,1.65,5,11,FLAT,GOOD/FIRM,14,1,WINNER
5,1.45,181,14,CHASE,GOOD ,28,4,WINNER
2,1.35,33,7,FLAT,FIRM,20,3,WINNER
2,2.06,1155,16,FLAT,FAST,13,3,LOSER
5,160,27,9,FLAT,HEAVY,24,5,LOSER
2,1.1,439,7,FLAT,GOOD/SOFT,21,3,WINNER
5,1.21,81,7,HURDLE,GOOD ,7,5,WINNER
2,1.11,7,7,CHASE,FAST,13,2,WINNER
5,1.59,120,7,FLAT,SOFT,19,4,LOSER
2,1.13,49,9,FLAT,FIRM,57,3,WINNER
2,1.99,2,7,CHASE,GOOD ,19,1,WINNER
2,1.52,280,12,CHASE,GOOD/FIRM,11,3,WINNER
2,1.97,223,9,FLAT,HEAVY,60,1,LOSER
2,6,321,13,HURDLE,GOOD/SOFT,37,1,WINNER
5,300,87,13,HURDLE,GOOD/FIRM,42,4,LOSER
2,2.2,75,8,FLAT,GOOD/SOFT,44,3,LOSER
2,1.05,29,6,FLAT,SOFT,8,2,WINNER
2,1.62,228,5,HURDLE,FAST,8,1,LOSER
5,2.02,121,9,CHASE,SOFT,15,4,LOSER
2,120,32,18,CHASE,GOOD/FIRM,13,2,LOSER
2,1.68,33,7,HURDLE,GOOD/SOFT,10,2,LOSER
2,1.26,95,7,HURDLE,FAST,13,1,WINNER
5,1.14,49,6,FLAT,HEAVY,24,5,WINNER
2,4.2,849,11,FLAT,GOOD/FIRM,34,2,LOSER
2,5.4,860,6,FLAT,GOOD ,21,1,LOSER
2,160,787,11,HURDLE,FIRM,28,1,LOSER
2,200,282,8,HURDLE,GOOD ,11,1,LOSER
2,1.32,279,7,HURDLE,GOOD/FIRM,40,2,LOSER
2,1.65,27,7,HURDLE,GOOD ,29,1,WINNER
5,2.64,35,9,FLAT,HEAVY,48,4,WINNER
2,1.66,2027,19,HURDLE,HEAVY,18,2,WINNER
2,2.1,28,6,FLAT,FAST,62,1,LOSER
5,1.32,7,12,FLAT,FIRM,33,4,WINNER
2,1.77,117,7,FLAT,FIRM,19,3,LOSER
5,140,142,16,FLAT,GOOD/FIRM,14,5,LOSER
2,1.26,1849,21,HURDLE,GOOD/FIRM,11,3,LOSER
2,1.56,378,9,FLAT,FAST,63,2,LOSER
2,7.8,11,9,HURDLE,GOOD/SOFT,18,2,LOSER
2,5.1,35,9,HURDLE,GOOD/FIRM,15,2,LOSER
2,2.92,48,7,FLAT,FIRM,18,3,WINNER
2,2.48,26,8,HURDLE,SOFT,7,2,LOSER
2,1.18,633,9,FLAT,GOOD ,39,2,LOSER
2,3.7,378,7,CHASE,FAST,31,3,LOSER
5,1.16,1481,10,CHASE,GOOD/FIRM,22,5,WINNER
5,1.56,270,8,FLAT,GOOD/SOFT,17,4,LOSER
5,9.4,834,10,HURDLE,GOOD/FIRM,16,4,WINNER
5,450,162,7,CHASE,HEAVY,74,4,LOSER
2,7,239,6,CHASE,GOOD/SOFT,38,3,LOSER
2,3.15,1374,11,FLAT,GOOD/FIRM,28,2,LOSER
5,2.3,112,10,FLAT,FAST,17,4,LOSER
5,2.72,221,10,CHASE,GOOD/FIRM,26,4,WINNER
2,5.2,767,9,FLAT,FAST,55,2,LOSER
2,1.83,75,9,CHASE,GOOD/SOFT,16,2,WINNER
2,2.28,12,8,HURDLE,SOFT,11,1,LOSER
5,1.97,935,12,FLAT,FIRM,24,4,LOSER
2,2.84,735,9,CHASE,GOOD/SOFT,22,1,LOSER
2,700,176,11,FLAT,FIRM,7,2,LOSER
2,1.06,390,18,CHASE,FAST,64,1,WINNER
2,2.24,85,6,FLAT,GOOD/SOFT,39,2,WINNER
2,3.2,5,21,FLAT,GOOD/SOFT,33,2,LOSER
2,1.71,64,14,HURDLE,GOOD/SOFT,58,1,WINNER
5,2.58,41,6,HURDLE,GOOD ,33,5,WINNER
2,20,180,6,HURDLE,FAST,12,1,LOSER
5,1.74,404,14,CHASE,GOOD ,17,4,LOSER
2,1.55,232,5,FLAT,FIRM,40,2,WINNER
5,1.99,12,11,FLAT,GOOD ,29,5,LOSER
5,2.7,5,17,HURDLE,FAST,24,4,LOSER
2,6.8,485,15,HURDLE,GOOD/FIRM,22,1,LOSER
2,6.8,1353,14,HURDLE,GOOD/FIRM,25,1,LOSER
2,2.54,417,19,FLAT,SOFT,21,2,LOSER
5,4.8,82,6,FLAT,HEAVY,49,5,LOSER
2,2.16,548,9,FLAT,FIRM,20,3,WINNER
5,6.6,299,18,HURDLE,GOOD/SOFT,11,4,LOSER
5,2.86,513,5,FLAT,GOOD ,50,4,LOSER
2,9.8,86,18,FLAT,GOOD/SOFT,14,1,LOSER
5,3.65,26,6,FLAT,FAST,23,5,LOSER
2,9.2,435,7,FLAT,SOFT,25,3,LOSER
2,1.34,43,21,HURDLE,GOOD/SOFT,95,2,WINNER
2,2.14,79,8,CHASE,FAST,17,1,LOSER
5,4.1,286,10,HURDLE,GOOD ,28,5,LOSER
5,5.3,728,10,HURDLE,FIRM,17,4,LOSER
2,1.87,118,5,FLAT,FIRM,54,3,WINNER
2,3.55,8,9,HURDLE,GOOD/SOFT,27,1,LOSER
5,1.51,177,8,HURDLE,FIRM,18,5,LOSER
5,1.79,54,6,HURDLE,GOOD/FIRM,27,5,LOSER
5,2.58,29,18,FLAT,HEAVY,22,5,LOSER
2,1.66,999,10,HURDLE,GOOD ,13,3,LOSER
2,4.6,114,7,HURDLE,GOOD/FIRM,21,1,WINNER
5,2.24,416,17,FLAT,HEAVY,20,5,LOSER
5,2.64,1741,7,FLAT,SOFT,76,5,LOSER
2,1.96,51,13,FLAT,FAST,18,1,WINNER
2,2.58,106,18,FLAT,GOOD/FIRM,22,2,WINNER
2,4.1,5,18,FLAT,GOOD/FIRM,69,2,LOSER
2,1.23,76,8,FLAT,FAST,19,1,WINNER
5,2.28,1562,16,FLAT,HEAVY,39,4,LOSER
2,1.76,346,9,HURDLE,GOOD/SOFT,18,2,WINNER
2,350,9,8,HURDLE,GOOD/FIRM,25,1,LOSER
5,8,231,11,CHASE,FAST,14,5,WINNER
2,1.81,13,9,CHASE,GOOD ,15,2,WINNER
2,3.55,2,7,HURDLE,GOOD ,13,2,LOSER
5,1.85,175,8,HURDLE,GOOD/FIRM,20,4,WINNER
5,1.14,1559,13,CHASE,GOOD/SOFT,49,5,WINNER
2,1.28,9,12,HURDLE,GOOD/FIRM,51,1,WINNER
2,1.03,62,7,CHASE,FIRM,18,3,WINNER
5,1.21,516,6,HURDLE,FIRM,28,4,LOSER
2,1.99,251,22,FLAT,FAST,37,3,WINNER
5,1.29,75,11,FLAT,HEAVY,35,4,WINNER
2,700,22,10,FLAT,SOFT,21,3,NON_RUNNER
5,9.2,81,8,HURDLE,FIRM,28,5,NON_RUNNER
5,200,504,24,CHASE,HEAVY,43,4,LOSER
5,8,496,10,FLAT,FIRM,33,5,LOSER
2,9.4,46,9,FLAT,GOOD ,17,2,LOSER
5,50,66,15,FLAT,FIRM,44,5,LOSER
5,3.9,723,5,FLAT,FAST,15,4,LOSER
2,1.45,1791,8,FLAT,SOFT,19,2,LOSER
2,30,188,8,HURDLE,FAST,28,2,LOSER
2,1.03,297,8,HURDLE,GOOD/FIRM,9,1,WINNER
5,2.36,107,7,HURDLE,FIRM,13,4,WINNER
2,100,83,19,FLAT,FIRM,12,2,LOSER
5,3.05,350,12,FLAT,SOFT,33,5,LOSER
5,1.05,35,10,FLAT,FAST,29,4,WINNER
2,2.1,17,15,FLAT,GOOD ,14,1,WINNER
2,2.96,651,16,FLAT,GOOD/SOFT,24,1,LOSER
2,1.25,207,6,HURDLE,GOOD/FIRM,23,1,WINNER
2,1.4,51,11,HURDLE,GOOD ,16,3,WINNER
2,14,15,7,FLAT,GOOD/SOFT,13,3,LOSER
2,300,269,8,CHASE,FIRM,64,3,LOSER
5,19,385,18,FLAT,GOOD/SOFT,65,4,LOSER
2,1.43,23,14,FLAT,GOOD/FIRM,39,1,WINNER
2,1.61,1149,11,FLAT,GOOD/FIRM,23,2,WINNER
5,300,589,15,HURDLE,GOOD ,14,4,LOSER
2,7.8,30,10,HURDLE,FAST,9,2,LOSER
2,6,188,7,FLAT,FAST,26,1,LOSER
5,60,325,25,FLAT,GOOD ,14,5,LOSER
5,1.49,751,13,FLAT,HEAVY,20,5,WINNER
2,1.52,712,7,HURDLE,SOFT,16,1,LOSER
5,1.91,76,14,FLAT,FAST,86,4,WINNER
2,1.99,16,17,HURDLE,FIRM,17,2,WINNER
2,1.63,116,7,FLAT,GOOD/FIRM,58,2,WINNER
2,50,56,12,HURDLE,GOOD ,41,3,LOSER
2,7.2,214,10,HURDLE,GOOD ,15,2,LOSER
2,1.94,402,21,CHASE,GOOD ,23,1,WINNER
2,1.06,1116,9,HURDLE,HEAVY,54,2,WINNER
2,8,60,9,HURDLE,GOOD/FIRM,27,3,WINNER
2,2.5,79,13,HURDLE,GOOD/FIRM,24,3,WINNER
5,3.65,1483,19,FLAT,FAST,35,5,LOSER
5,1.36,177,8,HURDLE,GOOD/SOFT,17,4,WINNER
2,1.77,558,9,FLAT,FAST,34,2,WINNER
2,700,95,7,HURDLE,FIRM,26,3,LOSER
5,1.14,271,7,FLAT,GOOD/SOFT,35,4,WINNER
2,9.6,1349,6,HURDLE,GOOD/SOFT,44,1,LOSER
5,1.42,92,20,HURDLE,HEAVY,7,4,LOSER
5,2.46,35,8,FLAT,GOOD/SOFT,22,4,LOSER
5,100,702,20,HURDLE,FIRM,12,4,LOSER
2,5.6,31,9,FLAT,GOOD/SOFT,6,1,LOSER
5,20,1241,19,HURDLE,FAST,14,5,LOSER
5,1.3,483,8,HURDLE,SOFT,16,4,LOSER
5,6,182,14,FLAT,FAST,72,4,LOSER
5,8.2,104,11,HURDLE,FAST,14,4,LOSER
5,400,332,7,CHASE,GOOD/SOFT,43,5,LOSER
2,1.29,4,6,FLAT,GOOD/FIRM,23,2,WINNER
5,5.5,26,15,FLAT,GOOD/SOFT,34,4,LOSER
2,2.96,300,11,HURDLE,FAST,28,2,LOSER
2,90,32,18,FLAT,GOOD/SOFT,12,1,LOSER
5,1.3,1583,11,HURDLE,GOOD/SOFT,55,5,WINNER
2,2.52,26,11,HURDLE,FIRM,22,1,LOSER
5,1.62,162,11,CHASE,SOFT,18,4,WINNER
2,1.3,17,14,HURDLE,HEAVY,9,1,WINNER
2,90,1240,5,FLAT,GOOD ,6,1,LOSER
2,9.6,158,13,CHASE,HEAVY,42,2,LOSER
5,1.08,189,12,FLAT,GOOD/FIRM,49,4,WINNER
5,30,360,12,FLAT,GOOD/SOFT,60,5,LOSER
5,2.76,341,12,HURDLE,FAST,16,4,LOSER
5,2.4,121,21,HURDLE,SOFT,62,5,NON_RUNNER
5,4.2,46,19,HURDLE,SOFT,38,4,WINNER
2,1.57,47,22,CHASE,HEAVY,10,2,WINNER
2,80,285,8,FLAT,FAST,18,1,LOSER
2,4.7,83,14,CHASE,FAST,26,3,WINNER
5,400,20,6,FLAT,HEAVY,14,5,LOSER
2,1.64,68,9,FLAT,GOOD/FIRM,25,3,WINNER
2,1.1,181,5,FLAT,GOOD/SOFT,24,1,WINNER
2,1.18,95,5,HURDLE,GOOD/FIRM,9,3,WINNER
2,6.6,136,14,FLAT,FIRM,26,1,WINNER
2,2.06,18,12,HURDLE,GOOD/SOFT,9,1,LOSER
2,700,1934,7,FLAT,GOOD ,37,3,LOSER
5,1.89,45,6,CHASE,GOOD/FIRM,51,4,LOSER
2,4.8,191,13,CHASE,FIRM,17,1,LOSER
2,1.94,493,17,FLAT,GOOD/FIRM,19,2,LOSER
2,2.08,52,8,HURDLE,FIRM,13,2,LOSER
2,1.63,6,9,HURDLE,GOOD/SOFT,18,2,LOSER
2,2.86,43,14,FLAT,HEAVY,21,3,WINNER
5,2.92,8,19,FLAT,FAST,18,5,LOSER
5,1.41,62,10,CHASE,HEAVY,13,5,WINNER
2,1.98,1897,10,HURDLE,FIRM,32,3,LOSER
2,4.2,51,8,FLAT,SOFT,20,2,LOSER
2,3.8,20,7,HURDLE,FIRM,14,2,LOSER
2,15,1229,7,HURDLE,GOOD ,27,2,LOSER
2,2.06,195,10,FLAT,GOOD/SOFT,30,1,LOSER
5,1.92,11,12,HURDLE,GOOD ,58,4,LOSER
2,3.1,37,9,FLAT,GOOD/SOFT,68,3,LOSER
5,3.9,95,7,FLAT,GOOD ,17,4,WINNER
5,2.16,15,13,CHASE,GOOD/SOFT,16,4,WINNER
2,2.82,44,12,FLAT,GOOD ,17,3,WINNER
2,2.86,1062,13,CHASE,SOFT,57,3,WINNER
2,17,84,11,FLAT,FIRM,44,2,WINNER
2,1.61,101,11,FLAT,GOOD/FIRM,21,2,WINNER
5,500,99,10,HURDLE,GOOD/FIRM,38,5,LOSER
2,5.9,1949,9,HURDLE,SOFT,20,1,LOSER
5,3.15,6,7,FLAT,SOFT,14,4,WINNER
2,800,346,11,FLAT,FAST,33,1,LOSER
2,25,9,7,HURDLE,GOOD ,32,2,LOSER
2,3.8,715,9,CHASE,GOOD/FIRM,19,2,LOSER
2,1.24,524,9,FLAT,GOOD ,57,2,WINNER
5,1.67,433,17,HURDLE,FIRM,16,5,LOSER
2,800,109,12,HURDLE,GOOD/FIRM,27,1,LOSER
2,1.23,287,13,FLAT,GOOD ,24,3,WINNER
5,1.65,23,8,FLAT,HEAVY,45,5,WINNER
2,4.4,668,6,FLAT,FAST,15,2,LOSER
5,5.6,226,14,FLAT,GOOD/FIRM,6,5,LOSER
2,7.8,158,7,HURDLE,GOOD/SOFT,47,1,LOSER
2,1.66,382,15,FLAT,HEAVY,18,3,WINNER
2,3.05,22,17,HURDLE,FAST,35,2,LOSER
5,1.49,21,12,HURDLE,GOOD/FIRM,9,4,WINNER
5,1.27,79,14,FLAT,FIRM,11,5,WINNER
2,2.82,28,9,FLAT,GOOD/SOFT,18,2,LOSER
5,2.74,18,6,HURDLE,GOOD/FIRM,15,5,LOSER
2,500,531,13,FLAT,GOOD/SOFT,24,2,LOSER
5,5.9,1376,22,HURDLE,FIRM,39,4,LOSER
2,11,1931,12,FLAT,FIRM,15,1,LOSER
2,2.32,1055,10,HURDLE,SOFT,18,2,LOSER
2,350,68,18,FLAT,FIRM,17,3,LOSER
2,1.34,1663,7,HURDLE,FIRM,81,2,WINNER
2,90,223,9,HURDLE,FAST,19,3,LOSER
2,2.28,111,15,FLAT,FIRM,16,3,WINNER
5,30,36,25,HURDLE,GOOD/FIRM,17,5,LOSER
2,1.14,622,16,FLAT,FIRM,17,1,WINNER
2,3.45,29,6,HURDLE,HEAVY,19,2,LOSER
2,1.14,588,10,HURDLE,SOFT,18,1,WINNER
2,8.4,12,7,CHASE,FIRM,27,1,LOSER
2,3.65,1785,8,FLAT,SOFT,45,3,LOSER
2,1.75,119,11,HURDLE,GOOD ,18,2,WINNER
2,1.96,515,7,FLAT,GOOD/SOFT,113,3,LOSER
2,2.3,404,14,FLAT,FIRM,92,1,WINNER
5,2.52,223,7,HURDLE,FAST,14,4,WINNER
2,1.55,1191,14,CHASE,FIRM,69,3,WINNER
5,5.4,180,14,HURDLE,GOOD/SOFT,29,5,LOSER
2,1.9,12,19,FLAT,FAST,19,3,LOSER
2,1.68,68,14,FLAT,GOOD/SOFT,7,3,WINNER
5,2.44,1144,10,FLAT,FAST,20,5,WINNER
2,1.81,1212,10,HURDLE,GOOD/FIRM,21,1,LOSER
2,3.7,65,13,FLAT,GOOD ,24,3,LOSER
2,1.81,14,11,FLAT,FAST,19,3,WINNER
2,2.18,26,18,FLAT,HEAVY,23,3,WINNER
2,1.61,133,5,CHASE,FIRM,12,3,LOSER
5,1.22,931,6,FLAT,FIRM,27,5,WINNER
2,2.92,10,9,CHASE,GOOD/FIRM,8,1,LOSER
5,1.02,70,16,HURDLE,FAST,34,4,WINNER
2,4.3,68,7,HURDLE,GOOD/SOFT,18,2,LOSER
2,1.37,288,6,HURDLE,HEAVY,65,1,WINNER
2,1.66,114,8,FLAT,GOOD ,14,1,WINNER
5,1.48,5,5,CHASE,HEAVY,23,5,LOSER
2,1.52,1451,17,FLAT,SOFT,7,1,LOSER
2,1.48,444,10,FLAT,GOOD ,9,2,WINNER
2,350,285,6,CHASE,SOFT,33,3,LOSER
5,1.73,166,8,FLAT,FIRM,16,5,WINNER
5,2.92,50,14,FLAT,SOFT,14,5,LOSER
5,6.6,78,12,HURDLE,GOOD/FIRM,15,4,WINNER
2,1.89,39,11,HURDLE,FAST,42,3,LOSER
5,3.6,236,8,FLAT,FIRM,15,5,LOSER
5,1.05,352,7,HURDLE,FAST,20,4,WINNER
2,2.48,214,7,FLAT,GOOD/SOFT,25,1,WINNER
5,12,375,17,HURDLE,GOOD/SOFT,26,4,LOSER
5,2.5,27,18,FLAT,FIRM,18,5,WINNER
2,9.8,36,8,FLAT,FIRM,13,2,LOSER
2,7.8,625,10,HURDLE,HEAVY,15,1,LOSER
2,1.86,406,20,HURDLE,GOOD/SOFT,37,3,WINNER
2,25,770,6,FLAT,FIRM,10,3,LOSER
2,2.12,50,13,HURDLE,GOOD/SOFT,16,3,WINNER
2,9.8,179,14,CHASE,GOOD ,19,2,LOSER
2,1.25,23,9,HURDLE,FAST,13,3,WINNER
2,1.94,205,12,HURDLE,SOFT,16,2,WINNER
2,2.38,79,15,HURDLE,HEAVY,41,1,LOSER
5,1.2,13,7,HURDLE,GOOD/FIRM,10,4,WINNER
5,1.73,120,15,CHASE,GOOD/SOFT,13,4,WINNER
2,1.25,859,10,FLAT,GOOD/SOFT,27,1,WINNER
2,7.8,9,8,FLAT,FAST,17,3,LOSER
